epoch,deconv1_v1_loss,deconv1_v2_loss,loss
0,0.22758151590824127,0.20626242458820343,0.4338441491127014
1,0.03860368952155113,0.05001748725771904,0.08862118422985077
2,0.013168424367904663,0.01527621503919363,0.028444631025195122
3,0.010236810892820358,0.011235926300287247,0.021472737193107605
4,0.009960409253835678,0.010957993566989899,0.020918408408761024
5,0.009873981587588787,0.010899490676820278,0.020773472264409065
6,0.009829847142100334,0.010878416709601879,0.020708275958895683
7,0.009808110073208809,0.010869696736335754,0.020677808672189713
8,0.009798726066946983,0.010865312069654465,0.020664051175117493
9,0.009793762117624283,0.010863280855119228,0.020657043904066086
10,0.009792814962565899,0.010862031020224094,0.020654844120144844
11,0.009791092947125435,0.010861321352422237,0.020652420818805695
12,0.009790248237550259,0.01086027268320322,0.020650522783398628
13,0.009788371622562408,0.010858857072889805,0.02064722776412964
14,0.009789013303816319,0.010859344154596329,0.020648356527090073
15,0.00978836603462696,0.010858108289539814,0.0206464696675539
16,0.009787432849407196,0.010857480578124523,0.020644910633563995
17,0.00978747196495533,0.010856958106160164,0.020644422620534897
18,0.009786919690668583,0.01085688266903162,0.020643804222345352
19,0.009786318056285381,0.010856343433260918,0.020642660558223724
