epoch,deconv1_v1_loss,deconv1_v2_loss,deconv1_v3_loss,loss
0,0.27123403549194336,0.2712269723415375,0.2326778918504715,0.775139331817627
1,0.08826179802417755,0.08749167621135712,0.04001994431018829,0.21577341854572296
2,0.01870722696185112,0.021807683631777763,0.012333590537309647,0.05284850671887398
3,0.01038146112114191,0.011143065057694912,0.009951820597052574,0.031476348638534546
4,0.009863491170108318,0.010066675022244453,0.009826662950217724,0.0297568179666996
5,0.009808439761400223,0.009906101040542126,0.009802927263081074,0.02951747551560402
6,0.00979622732847929,0.009846672415733337,0.009798255749046803,0.029441162943840027
7,0.009792097844183445,0.009818725287914276,0.009796244092285633,0.029407061636447906
8,0.009790747426450253,0.009806249290704727,0.00979578122496605,0.029392771422863007
9,0.009789516218006611,0.009800417348742485,0.009794949553906918,0.029384857043623924
